(1, (3, 4, 0, 0))
(2, (3, 4, 0, 0))
(3, (3, 4, 1, 0))
(1, (2, 4, 1, 0))
(2, (2, 4, 1, 0))
(3, (2, 4, 2, 0))
(1, (1, 4, 2, 0))
(2, (1, 4, 2, 0))
(3, (1, 4, 3, 0))
(1, (0, 4, 3, 0))
(4, (0, 4, 3, 0))
(5, (0, 4, 3, 0))
(6, (0, 4, 3, 0))
(7, (1, 4, 3, 0))
(8, (1, 4, 3, 1))
(5, (1, 3, 3, 1))
(6, (1, 3, 3, 1))
(7, (2, 3, 3, 1))
(8, (2, 3, 3, 2))
(5, (2, 2, 3, 2))
(6, (2, 2, 3, 2))
(7, (3, 2, 3, 2))
(8, (3, 2, 3, 3))
(5, (3, 1, 3, 3))
(6, (3, 1, 3, 3))
(7, (4, 1, 3, 3))
(8, (4, 1, 3, 4))
(5, (4, 0, 3, 4))
(9, (4, 0, 3, 4))
(10, (4, 0, 3, 4))
(11, (4, 1, 3, 4))
(9, (4, 1, 3, 3))
(10, (4, 1, 3, 3))
(11, (4, 2, 3, 3))
(9, (4, 2, 3, 2))
(10, (4, 2, 3, 2))
(11, (4, 3, 3, 2))
(9, (4, 3, 3, 1))
(10, (4, 3, 3, 1))
(11, (4, 4, 3, 1))
(9, (4, 4, 3, 0))
(12, (4, 4, 3, 0))
(4, (4, 4, 2, 0))
(5, (4, 4, 2, 0))
(6, (4, 4, 2, 0))
(7, (5, 4, 2, 0))
(8, (5, 4, 2, 1))
(5, (5, 3, 2, 1))
(6, (5, 3, 2, 1))
(7, (6, 3, 2, 1))
(8, (6, 3, 2, 2))
(5, (6, 2, 2, 2))
(6, (6, 2, 2, 2))
(7, (7, 2, 2, 2))
(8, (7, 2, 2, 3))
(5, (7, 1, 2, 3))
(6, (7, 1, 2, 3))
(7, (8, 1, 2, 3))
(8, (8, 1, 2, 4))
(5, (8, 0, 2, 4))
(9, (8, 0, 2, 4))
(10, (8, 0, 2, 4))
(11, (8, 1, 2, 4))
(9, (8, 1, 2, 3))
(10, (8, 1, 2, 3))
(11, (8, 2, 2, 3))
(9, (8, 2, 2, 2))
(10, (8, 2, 2, 2))
(11, (8, 3, 2, 2))
(9, (8, 3, 2, 1))
(10, (8, 3, 2, 1))
(11, (8, 4, 2, 1))
(9, (8, 4, 2, 0))
(12, (8, 4, 2, 0))
(4, (8, 4, 1, 0))
(5, (8, 4, 1, 0))
(6, (8, 4, 1, 0))
(7, (9, 4, 1, 0))
(8, (9, 4, 1, 1))
(5, (9, 3, 1, 1))
(6, (9, 3, 1, 1))
(7, (10, 3, 1, 1))
(8, (10, 3, 1, 2))
(5, (10, 2, 1, 2))
(6, (10, 2, 1, 2))
(7, (11, 2, 1, 2))
(8, (11, 2, 1, 3))
(5, (11, 1, 1, 3))
(6, (11, 1, 1, 3))
(7, (12, 1, 1, 3))
(8, (12, 1, 1, 4))
(5, (12, 0, 1, 4))
(9, (12, 0, 1, 4))
(10, (12, 0, 1, 4))
(11, (12, 1, 1, 4))
(9, (12, 1, 1, 3))
(10, (12, 1, 1, 3))
(11, (12, 2, 1, 3))
(9, (12, 2, 1, 2))
(10, (12, 2, 1, 2))
(11, (12, 3, 1, 2))
(9, (12, 3, 1, 1))
(10, (12, 3, 1, 1))
(11, (12, 4, 1, 1))
(9, (12, 4, 1, 0))
(12, (12, 4, 1, 0))
(4, (12, 4, 0, 0))
(0, (12, 4, 0, 0))
Número de passos: 107
